# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
StrafeRightStart | StrafeRightStart() | Begins moving the player character sideways to his or her right
StrafeRightStop | StrafeRightStop() | Ends movement initiated by `StrafeRightStart`
strbyte | value, ... = strbyte("s" [, firstChar [, lastChar]]) | Returns the numeric code for one or more characters in a string. Alias for the standard library function `string.byte`.
strchar | s = strchar(n [, ...]) | Returns the character(s) for one or more numeric codes. Alias for the standard library function `string.char`.
strconcat | result = strconcat("...") | Joins a list of strings (with no separator). Equivalent to `strjoin("", ...)`. If no strings are provided, returns the e
strfind | start, end, ... = strfind("s", "pattern" [, init [, plain]]) | Returns information about matches for a pattern in a string. Alias for the standard library function `string.find`.
strjoin | text = strjoin("sep", ...) | Joins a list of strings together with a given separator. If given a list of strings not already in a table, this functio
strlen | length = strlen("s") | Returns the number of characters in a string. Alias for the standard library function `string.len`.
strlenutf8 | length = strlenutf8("string") | Returns the length of a string, taking UTF-8 multi-byte characters into account
strlower | lowerCase = strlower("s") | Returns a copy of a string with all uppercase letters converted to lowercase. Alias for the standard library function `s
strmatch | match, ... = strmatch("s", "pattern") | Returns the matches for a for a pattern in a string. Alias for the standard library function `string.match`.
strrep | repeated = strrep("s", n) | Returns a string produced by a number of repetitions of another string. Alias for the standard library function `string.
strreplace | newText, count = strreplace("text", "pattern", "replacement", "count") | Fast simple substring substitution. Matches the semantics of `string.gsub`, but only finds and replaces specific substri
strrev | s = strrev("s") | Returns the reverse of a string. Alias for the standard library function `string.reverse`.
strsplit | ... = strsplit("sep", "text", limit) | Splits a string based on another seperator string. Also available as `string.split` (though not provided by the Lua stan
strsub | s = strsub("s", firstChar [, lastChar]) | Returns a substring of a string. Alias for the standard library function `string.sub`.
strtrim | text = strtrim("str" [, "trimChars"]) | Trims leading and trailing characters (whitespace by default) from a string. Also available as `string.trim` (though not
strupper | lowerCase = strupper("str") | Returns a copy of a string with all lowercase letters converted to uppercase. Alias for the standard library function `s
Stuck | Stuck() | Uses the auto-unstuck feature
SummonFriend | SummonFriend("name") or SummonFriend("unit") | Summons a unit whose account is linked to the player's via the Recruit-a-Friend program. Does not instantly teleport the
SummonRandomCritter | SummonRandomCritter() | Summons a random critter companion
SwapRaidSubgroup | SwapRaidSubgroup(index1, index2) | Swaps two raid members between subgroups in the raid. Only has effect if the player is the raid leader or a raid assista
TakeInboxItem | TakeInboxItem(mailID, attachmentIndex) | Retrieves an item attachment from a message in the player's inbox (accepting COD charges if applicable)
TakeInboxMoney | TakeInboxMoney(mailID) | Retrieves any money attached to a mail in the player's inbox
TakeInboxTextItem | TakeInboxTextItem(mailID) | Requests a copy of a mail's body text as an item. The text of an in-game mail can be retrieved as a readable "Plain Lett
TakeTaxiNode | TakeTaxiNode(index) | Embarks on a taxi flight to a given destination. Only has effect while interacting with a flight master (i.e. between th
TargetLastEnemy | TargetLastEnemy() | Targets the most recently targeted enemy unit
TargetLastFriend | TargetLastFriend() | Targets the most recently targeted friendly unit
TargetLastTarget | TargetLastTarget() | Targets the most recently targeted unit
TargetNearest | TargetNearest([backward]) | Cycles targets through nearest units regardless of reaction/affiliation
TargetNearestEnemy | TargetNearestEnemy(backward) | Cycles your target through the nearest enemy units.
TargetNearestEnemyPlayer | TargetNearestEnemyPlayer(backward) | Cycles targets through nearby enemy player units
TargetNearestFriend | TargetNearestFriend(backward) | Cycles targets through nearby friendly units
TargetNearestFriendPlayer | TargetNearestFriendPlayer(backward) | Cycles targets through nearby friendly player units
TargetNearestPartyMember | TargetNearestPartyMember(backward) | Cycles targets through nearby party members
TargetNearestRaidMember | TargetNearestRaidMember(backward) | Cycles targets through nearby raid members
TargetTotem | TargetTotem(slot) | Targets one of the player's totems (or a Death Knight's ghoul). Totem functions are also used for ghouls summoned by a D
TargetUnit | TargetUnit("unit") or TargetUnit("name" [, exactMatch]) | Targets a unit. Passing `nil` is equivalent to calling `ClearTarget()`).
TaxiGetDestX | dX = TaxiGetDestX(source, dest) | Returns the horizontal coordinate of a taxi flight's destination node. Used in the default UI to draw lines between node
TaxiGetDestY | dY = TaxiGetDestY(source, dest) | Returns the vertical coordinate of a taxi flight's destination node. Used in the default UI to draw lines between nodes;
TaxiGetSrcX | sX = TaxiGetSrcX(source, dest) | Returns the horizontal coordinate of a taxi flight's source node. Used in the default UI to draw lines between nodes; `T
TaxiGetSrcY | sY = TaxiGetSrcY(source, dest) | Returns the vertical coordinate of a taxi flight's source node. Used in the default UI to draw lines between nodes; `Tax
TaxiNodeCost | cost = TaxiNodeCost(index) | Returns the cost to fly to a given taxi node. Only returns valid data while interacting with a flight master (i.e. betwe
TaxiNodeGetType | type = TaxiNodeGetType(index) | Returns the type of a flight pont. Only returns valid data while interacting with a flight master (i.e. between the `TAX
TaxiNodeName | name = TaxiNodeName(index) | Returns the name of a flight point. Only returns valid data while interacting with a flight master (i.e. between the `TA
TaxiNodePosition | x, y = TaxiNodePosition(index) | Returns the position of a flight point on the taxi map. Only returns valid data while interacting with a flight master (
TaxiNodeSetCurrent | TaxiNodeSetCurrent(slot) | Sets the "current" flight path node. Used in the default UI when mousing over a node; tells the client to compute the ro
time | t = time([timeDesc]) | Returns the numeric time value for a described date/time (or the current time). Alias for the standard library function 
tinsert | tinsert(table [, position] value) | Inserts a value into a table. Alias for the standard library function `table.insert`.
ToggleAutoRun | ToggleAutoRun() | Starts or stops the player character automatically moving forward
TogglePetAutocast | TogglePetAutocast(index) | Turns autocast on or off for a pet action. Turns autocast on if not autocasting and vice versa.
TogglePVP | TogglePVP() | Switches the player's desired PvP status. If PvP is currently disabled for the player, it becomes enabled immediately. I
ToggleRun | ToggleRun() | Switches the character's ground movement mode between running and walking. If running, switches to walking, and vice ver
ToggleSheath | ToggleSheath() | Sheaths or unsheaths the player character's hand-held items. Calling repeatedly will cause the player character to draw 
ToggleSpellAutocast | ToggleSpellAutocast(index, "bookType") or ToggleSpellAutocast("name") | Enables or disables automatic casting of a spell. Generally only pet spells can be autocast.
tonumber | numValue = tonumber(x [, base]) | Returns the numeric value of a string
tostring | stringValue = tostring(value) | Returns a string representation of a value
TradeSkillOnlyShowMakeable | TradeSkillOnlyShowMakeable(filter) | Filters the trade skill listing by whether the player currently has enough reagents for each recipe
TradeSkillOnlyShowSkillUps | TradeSkillOnlyShowSkillUps(filter) | Filters the trade skill listing by whether the player can gain skill ranks from each recipe. The default UI does not pro
tremove | tremove(table [, position]) | Removes an element from a table. Alias for the standard library function `table.remove`.
TurnInGuildCharter | TurnInGuildCharter() | Turns in a completed guild charter. Usable if the player is interacting with a guild registrar (i.e. between the `GUILD_
TurnLeftStart | TurnLeftStart() | Begins turning the player character to the left. "Left" here is relative to the player's facing; i.e. if looking down at
TurnLeftStop | TurnLeftStop() | Ends movement initiated by `TurnLeftStart`
TurnOrActionStart | TurnOrActionStart() | Begins character steering or interaction (equivalent to right-clicking in the 3-D world). After calling this function (i
TurnOrActionStop | TurnOrActionStop() | Ends action initiated by `TurnOrActionStart`. After calling this function (i.e. releasing the right mouse button), chara
TurnRightStart | TurnRightStart() | Begins turning the player character to the right. "Right" here is relative to the player's facing; i.e. if looking down 
